x,y,z,figure_type,figure_id
-294.9999999999992,-1.78e-14,0.0,POLYLINE,0
-295.0000000000006,59.99999999999999,0.0,POLYLINE,0
-375.0000000000006,59.99999999999807,0.0,POLYLINE,0
-374.9999999999992,0.1837948131843348,0.0,POLYLINE,0
-374.9999999999994,-59.81620518681566,0.0,POLYLINE,0
-294.9999999999994,-59.81620518681594,0.0,POLYLINE,0
-345.853465182995,-34.387007880977,0.0,POLYLINE,1
-332.1389868574025,-13.07681888572201,0.0,POLYLINE,1
-311.9343759675999,-26.07978653593525,0.0,POLYLINE,1
-325.6488542931923,-47.38997553119023,0.0,POLYLINE,1
-336.8621303784699,30.09189740659183,0.0,CIRCLE,2
-337.1899163674628,33.21057276885822,0.0,CIRCLE,2
-338.15894851383086,36.19294705272883,0.0,CIRCLE,2
-339.72687546284567,38.90867619097892,0.0,CIRCLE,2
-341.825171283087,41.239069788752744,0.0,CIRCLE,2
-344.3621303784699,43.082278463358406,0.0,CIRCLE,2
-347.22687546284567,44.35774515101913,0.0,CIRCLE,2
-350.2942034294551,45.00972583711593,0.0,CIRCLE,2
-353.4300573274847,45.00972583711593,0.0,CIRCLE,2
-356.4973852940941,44.35774515101913,0.0,CIRCLE,2
-359.3621303784699,43.082278463358406,0.0,CIRCLE,2
-361.89908947385277,41.239069788752744,0.0,CIRCLE,2
-363.9973852940941,38.90867619097893,0.0,CIRCLE,2
-365.5653122431089,36.19294705272883,0.0,CIRCLE,2
-366.534344389477,33.21057276885822,0.0,CIRCLE,2
-366.8621303784699,30.091897406591837,0.0,CIRCLE,2
-366.534344389477,26.973222044325443,0.0,CIRCLE,2
-365.5653122431089,23.990847760454827,0.0,CIRCLE,2
-363.9973852940941,21.275118622204737,0.0,CIRCLE,2
-361.89908947385277,18.94472502443092,0.0,CIRCLE,2
-359.3621303784699,17.101516349825253,0.0,CIRCLE,2
-356.4973852940941,15.826049662164527,0.0,CIRCLE,2
-353.4300573274847,15.17406897606773,0.0,CIRCLE,2
-350.2942034294551,15.174068976067728,0.0,CIRCLE,2
-347.22687546284567,15.826049662164525,0.0,CIRCLE,2
-344.3621303784699,17.101516349825253,0.0,CIRCLE,2
-341.825171283087,18.94472502443092,0.0,CIRCLE,2
-339.72687546284567,21.27511862220473,0.0,CIRCLE,2
-338.15894851383086,23.990847760454827,0.0,CIRCLE,2
-337.1899163674628,26.973222044325446,0.0,CIRCLE,2
-336.8621303784699,30.091897406591812,0.0,CIRCLE,2
